max_deceleration,velocity,lead_speed_delta,Crash,initial_distance,speed_difference,CFS,PFS,reacted,ego_speed,perceived_gap,true_gap,perceived_speed,true_speed
0.05,12,0,False,7.095238095238095,0.0,0.0,0.7421676180530131,True,0.07772407427528233,3.6560412171320076,4.000621782167898,0.0,0.0
0.05,12,5,False,7.095238095238095,0.0,0.0,1.0,True,0.11117130943527465,3.3340995526560473,4.458116843199886,0.0,0.0
0.05,12,10,False,7.095238095238095,0.0,0.0,1.0,True,0.24106828884913933,2.1571798928982338,2.515218432451186,0.0,0.0
0.05,12,15,False,7.095238095238095,0.0,1.0,1.0,True,0.0966876202375262,2.469117382000393,2.4492385730073583,0.0,0.0
0.05,12,20,False,7.095238095238095,0.0,0.641567106532844,1.0,True,0.1743333333333329,2.670292994066596,2.5171380952380975,0.0,0.0
0.05,12,25,False,7.095238095238095,0.0,0.16218589237492753,1.0,True,0.2654217411719676,2.598850595703021,2.5080292544542333,0.0,0.0
0.05,12,30,False,7.095238095238095,0.0,0.0,1.0,True,0.09862034570666289,2.4567969753923142,2.465378721538996,0.0,0.0
0.05,14,0,False,7.726851851851851,0.0,0.0,0.6030566515571021,True,0.0842125653688463,3.3331476779562523,3.9026285302247965,0.0,0.0
0.05,14,5,False,7.726851851851851,0.0,0.0,1.0,True,0.12326209084436113,3.0420365529180264,4.129426473352875,0.0,0.0
0.05,14,10,False,7.726851851851851,0.0,0.0,1.0,True,0.36992139015471354,3.156537714518043,3.3794795103988484,0.22821111111111114,0.22821111111111114
0.05,14,15,False,7.726851851851851,0.0,1.0,1.0,True,0.3298888888888889,1.6878260353523666,2.1157629629629637,0.0,0.0
0.05,14,20,False,7.726851851851851,0.0,0.07674832779277993,1.0,True,0.03107672580506987,2.439134859459781,2.1025365066908392,0.0,0.0
0.05,14,25,False,7.726851851851851,0.0,1.0,1.0,True,0.3298888888888889,1.8976847329104993,2.1157629629629637,0.0,0.0
0.05,14,30,False,7.726851851851851,0.0,1.0,1.0,True,0.15488856590811295,2.5623647521427877,2.0954536455819035,0.0,0.0
0.05,16,0,False,8.391534391534393,0.0,0.0,0.9153925371053377,True,0.11117348506980276,2.8590194978181964,4.258511678917629,0.0,0.0
0.05,16,5,False,8.391534391534393,0.0,0.0,1.0,True,0.106112659189887,3.471985638843994,4.283658494898956,0.0,0.0
0.05,16,10,False,8.391534391534393,0.0,0.0,1.0,True,0.4476987697667701,3.5315728407637828,3.6548541856566548,0.3913666666666664,0.3913666666666664
0.05,16,15,False,8.391534391534393,0.0,1.0,1.0,True,0.1623608751318617,2.3856996673841495,1.7532010817989816,0.0,0.0
0.05,16,20,False,8.391534391534393,0.0,1.0,1.0,True,0.08544444444444477,1.059444407508046,1.6678010582010572,0.0,0.0
0.05,16,25,False,8.391534391534393,0.0,1.0,1.0,True,0.08544444444444477,1.4268296366685789,1.6678010582010572,0.0,0.0
0.05,16,30,False,8.391534391534393,0.0,1.0,1.0,True,0.35894444444444473,0.919261294295973,1.4363510582010566,0.0,0.0
0.05,18,0,False,9.089285714285715,0.0,0.0,0.7861883739212857,True,0.14550559813159067,2.872177909907312,3.9725189337347233,0.0,0.0
0.05,18,5,False,9.089285714285715,0.0,0.0,1.0,True,0.07685190179954304,3.387396827231915,4.160415692442489,0.0,0.0
0.05,18,10,False,9.089285714285715,0.0,0.0,1.0,True,0.08477227009685562,3.4328060860810288,4.438755510765222,0.014972222222222165,0.014972222222222165
0.05,18,15,False,9.089285714285715,0.0,1.0,1.0,True,0.24100000000000033,1.8847440988793505,1.9243723809523825,0.0,0.0
