max_deceleration,velocity,lead_speed_delta,Crash,initial_distance,speed_difference,CFS,PFS,reacted,ego_speed,perceived_gap,true_gap,perceived_speed,true_speed
0.05,12,0,False,7.095238095238095,0.0,0.0,0.5798536268457382,True,0.05496542526481857,3.559587009774762,3.8378003720788447,0.0,0.0
0.05,12,5,False,7.095238095238095,0.0,0.0,0.9531265029752941,True,0.018762265227631345,3.8223224189775413,3.968645152222222,0.0,0.0
0.05,12,10,False,7.095238095238095,0.0,0.0,1.0,True,0.25371509851600466,2.836835815328727,2.8486116978404317,0.0,0.0
0.05,12,15,False,7.095238095238095,0.0,0.0,1.0,True,0.21290330649945954,2.373796660750741,2.5132810979214844,0.0,0.0
0.05,12,20,False,7.095238095238095,0.0,0.0,1.0,True,0.2335477486980287,2.4935600778709848,2.511216653701627,0.0,0.0
0.05,12,25,False,7.095238095238095,0.0,0.0,1.0,True,0.2325784510223567,2.705757852149385,2.511313583469195,0.0,0.0
0.05,12,30,False,7.095238095238095,0.0,0.0,1.0,True,0.1743333333333329,2.5478360642389983,2.5171380952380975,0.0,0.0
0.05,14,0,False,7.726851851851851,0.0,0.0,0.41209837636621294,True,0.009639566375150352,3.647086655036703,3.859562314453364,0.0,0.0
0.05,14,5,False,7.726851851851851,0.0,0.0,1.0,True,0.06055558955025503,3.7201188099754328,3.9338277414213545,0.0,0.0
0.05,14,10,False,7.726851851851851,0.0,0.0,1.0,True,0.32129182544380497,3.284873411004958,3.3424059437620626,0.22821111111111114,0.179161111111111
0.05,14,15,False,7.726851851851851,0.0,1.0,1.0,True,0.3298888888888889,1.9323987816602886,2.1157629629629637,0.0,0.0
0.05,14,20,False,7.726851851851851,0.0,0.9043108308988641,1.0,True,0.3298888888888889,2.1662888563206755,2.1157629629629637,0.0,0.0
0.05,14,25,False,7.726851851851851,0.0,0.7851047375498923,1.0,True,0.3298888888888889,2.2990631388081253,2.1157629629629637,0.0,0.0
0.05,14,30,False,7.726851851851851,0.0,1.0,1.0,True,0.3298888888888889,2.0283353812855234,2.1157629629629637,0.0,0.0
0.05,16,0,False,8.391534391534393,0.0,0.0,0.6303185325941196,True,0.018556073555295746,3.910719132662071,3.8776794001719894,0.0,0.0
0.05,16,5,False,8.391534391534393,0.0,0.0,1.0,True,0.018581229512352027,3.683996767974551,3.925429834651669,0.0,0.0
0.05,16,10,False,8.391534391534393,0.0,0.0,1.0,True,0.6859357655678013,3.9708999635725055,3.9789086847458437,0.6856666666666664,0.6366166666666664
0.05,16,15,False,8.391534391534393,0.0,1.0,1.0,True,0.08544444444444477,1.9328760377860057,1.7608927248677233,0.0,0.0
0.05,16,20,False,8.391534391534393,0.0,1.0,1.0,True,0.08544444444444477,1.7637189043942332,1.6678010582010572,0.0,0.0
0.05,16,25,False,8.391534391534393,0.0,1.0,1.0,True,0.08544444444444477,1.8828290349320955,1.6678010582010572,0.0,0.0
0.05,16,30,False,8.391534391534393,0.0,1.0,1.0,True,0.08544444444444477,1.585790802440318,1.6678010582010572,0.0,0.0
0.05,18,0,False,9.089285714285715,0.0,0.0,0.5644573689680056,True,0.03522356680924584,3.8308429348306534,3.9023081835506845,0.0,0.0
0.05,18,5,False,9.089285714285715,0.0,0.0,1.0,True,0.03138070370213531,3.7956321522527867,3.970949366467573,0.0,0.0
0.05,18,10,False,9.089285714285715,0.0,0.0,1.0,True,0.025897441025286044,3.8417064740612323,3.9136944799889397,0.0,0.0
0.05,18,15,False,9.089285714285715,0.0,0.9633187763416688,1.0,True,0.24100000000000033,2.1777998294284338,1.9243723809523825,0.048533333333333206,0.0
0.05,18,20,False,9.089285714285715,0.0,1.0,1.0,True,0.24100000000000033,1.0449286773559514,1.1747857142857168,0.0,0.0
0.05,18,25,False,9.089285714285715,0.0,1.0,1.0,True,0.24100000000000033,1.2827851981472893,1.1747857142857168,0.0,0.0
0.05,18,30,False,9.089285714285715,0.0,1.0,1.0,True,0.24100000000000033,1.4071632264069756,1.1747857142857168,0.0,0.0
0.05,20,0,False,9.82010582010582,0.0,0.0,0.8564286416076309,True,0.003761503675780445,3.8144432647627413,3.929893813718036,0.0,0.0
0.05,20,5,False,9.82010582010582,0.0,0.0,1.0,True,0.042436325653653253,3.636379282915411,3.9261855553633014,0.0,0.0
0.05,20,10,False,9.82010582010582,0.0,0.0,1.0,True,0.02715016854546103,3.883617501150117,3.9184574023064096,0.0,0.0
